Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
GUI,TC_WEB_PROFILE_GUI_004,[Web] Profile,Check display,Statistics card,Own profile only,"The statistics card (mms_B) renders the viewer's five counters with second-person labels, and appears ONLY on their own profile.",Signed in as a Sunner with known counters.,,"1. Navigate to /profile.
2. Read every row of the statistics card.","Five rows are shown with the viewer's real numbers: Kudos received, Kudos sent, hearts received, then a divider, then Secret Boxes opened and Secret Boxes unopened. Each value matches the viewer's actual counters.",Yes,High,Normal,,,,"Labels are second-person ('bạn'), which is why the whole card is replaced rather than reused on another profile."
GUI,TC_WEB_PROFILE_GUI_005,[Web] Profile,Check display,Statistics card,Secret Box deferred,"The two Secret Box rows read 0 and the 'Mo Secret Box' button is disabled, matching the live board's sidebar — the honest rendering of a deferred feature rather than invented numbers or hidden rows.",Signed in.,,"1. Navigate to /profile.
2. Inspect the two Secret Box rows and the button below them.
3. Attempt to click the button.","'Secret Boxes opened' and 'Secret Boxes unopened' both show 0. The 'Mo Secret Box' button is rendered but disabled, and clicking it does nothing — no dialog, no navigation, no error.",Yes,Medium,Normal,,,,Same deferral as the board sidebar's prize rows.
FUNCTION,TC_WEB_PROFILE_FUN_006,[Web] Profile,Two faces of the route,Write-Kudo bar,Replaces the statistics card,"On another Sunner's profile the WHOLE statistics card is replaced by a write-Kudo bar, in the same slot (item 107677 / mms_B_Thong ke), modelled on the board's write bar.",Signed in as Sunner A. Sunner B exists.,URL: /profile?id={Sunner B},"1. Navigate to /profile?id={Sunner B}.
2. Inspect the area where the statistics card sits on your own profile.","A write-Kudo bar is shown in that position, naming Sunner B (VN 'Gui loi cam on va ghi nhan den {name}'). No statistics row, no counters and no 'Mo Secret Box' button appear anywhere on the page.",No,High,Normal,,,,"Driven by one data-level branch (stats is null for anyone but the caller), so the self/other distinction is decided once."
FUNCTION,TC_WEB_PROFILE_FUN_007,[Web] Profile,Two faces of the route,Write-Kudo bar,Pre-filled recipient,"The write-Kudo bar opens the existing Viet Kudo modal with the viewed Sunner already selected as recipient, since the viewer has already indicated who they meant.",Signed in as Sunner A. Sunner B exists.,URL: /profile?id={Sunner B},"1. Navigate to /profile?id={Sunner B}.
2. Click the write-Kudo bar.
3. Inspect the recipient field.","The Viet Kudo modal opens with Sunner B's name already in the recipient field. No recipient-suggestion list is popped open over the untouched field. The field remains editable, so the recipient can still be changed.",No,High,Normal,,,,"Implemented as an optional prop defaulting to null, so the homepage and board compose flows are unchanged."
FUNCTION,TC_WEB_PROFILE_FUN_008,[Web] Profile,Two faces of the route,Write-Kudo bar,Absent on own profile,"Your own profile offers no write-Kudo bar, because a Sunner cannot send themselves a Kudo.",Signed in.,URL: /profile,"1. Navigate to /profile.
2. Look for a write-Kudo bar.",No write-Kudo bar is rendered; the statistics card occupies that slot instead.,No,Medium,Abnormal,,,,"The database also refuses a self-Kudo (kudos_no_self), but the surface should not invite the attempt."
FUNCTION,TC_WEB_PROFILE_FUN_009,[Web] Profile,KUDOS section,Direction dropdown,Own profile offers both,"On your own profile the KUDOS dropdown offers both 'Da nhan (N)' and 'Da gui (N)', with counts from the profile counters, and Received is selected first.",Signed in as a Sunner who has both received and sent Kudos.,,"1. Navigate to /profile.
2. Read the dropdown trigger.
3. Open the dropdown.","The trigger initially reads 'Da nhan (N)' with N equal to the viewer's received count. Opening it lists exactly two options: 'Da nhan (N)' and 'Da gui (M)', where M is the viewer's sent count.",Yes,High,Normal,,,,"The trigger shows the ACTIVE direction, as the design writes it."
FUNCTION,TC_WEB_PROFILE_SEC_001,[Web] Profile,KUDOS section,Direction dropdown,Sent is hidden on another profile,"Another Sunner's profile must offer Received ONLY. Their sent count includes Kudos they sent ANONYMOUSLY, which no feed will ever show — so publishing that number, or a Sent list that contradicts it, would leak how many anonymous Kudos they sent.",Signed in as Sunner A. Sunner B exists and has sent at least one ANONYMOUS Kudo.,URL: /profile?id={Sunner B},"1. Navigate to /profile?id={Sunner B}.
2. Open the KUDOS direction dropdown.
3. Search the whole page for any 'Da gui' text.","The dropdown contains exactly ONE option, 'Da nhan (N)'. No 'Da gui' option, label or count appears anywhere on the page. Sunner B's sent count is never rendered.",No,High,Access control and security,,,,"The leak is closed by removing the surface, not by adjusting the count. This is the single most important case on this screen."
FUNCTION,TC_WEB_PROFILE_SEC_002,[Web] Profile,KUDOS section,Sent feed,Includes your own anonymous Kudos,"Your own Sent list must include the Kudos you sent anonymously, and show YOU as their author — the public feed masks the sender, so a naive sent-by filter would silently drop them and under-report against the counter beside it.","Signed in as Sunner A, who has sent at least one signed and one ANONYMOUS Kudo.",,"1. Navigate to /profile.
2. Switch the KUDOS dropdown to 'Da gui'.
3. Compare the number of cards to the count in the dropdown label.","Both the signed and the anonymous Kudo appear. The card count matches the 'Da gui (N)' count. On your own sent cards you are shown as the author — the masked-alias placeholder is NOT used for your own anonymous Kudo, though it is still marked as having been sent anonymously.",No,High,Normal,,,,Served by a caller-scoped definer view whose WHERE clause is the security boundary.
FUNCTION,TC_WEB_PROFILE_SEC_003,[Web] Profile,KUDOS section,Sent feed,Never crosses users,"Two different signed-in Sunners asking for a Sent list must each see only their own Kudos, with no way to request another person's.","Two Sunners, A and B, each having sent at least one Kudo (A's including an anonymous one).",,"1. Sign in as Sunner A, open /profile and switch to 'Da gui'. Record the cards.
2. Sign in as Sunner B in a separate session and repeat.
3. Compare the two lists.","The two lists are disjoint. Sunner B never sees any of Sunner A's sent Kudos, including A's anonymous one, and vice versa. There is no request that returns another Sunner's sent list.",No,High,Access control and security,,,,Must be checked with two live sessions; a single-session test cannot demonstrate it.
GUI,TC_WEB_PROFILE_GUI_006,[Web] Profile,Check display,KUDOS feed,Card shape matches the board,"Cards in the profile feed are identical in shape and behaviour to the same Kudo on the live board, including the masking of anonymous senders on a Received list.",Signed in. The viewed Sunner has received at least one signed and one anonymous Kudo.,,"1. Navigate to a profile with received Kudos.
2. Compare a card against the same Kudo on /kudos.","Sender, recipient, title, body, timestamp, hashtags, attachments, heart count and Copy Link all render as they do on the board. An anonymous Kudo shows the masked alias instead of the sender's name — the sender's identity, department and counters are all withheld.",Yes,High,Normal,,,,"Same mapper and same column list as the board, so the two cannot diverge."
FUNCTION,TC_WEB_PROFILE_FUN_010,[Web] Profile,KUDOS section,Direction switch,Discards the other list,Switching direction loads page 1 of the newly chosen list and discards the pages accumulated by infinite scroll for the previous one.,Signed in as a Sunner with more than one page of received Kudos and at least one sent Kudo.,,"1. Navigate to /profile.
2. Scroll until at least a second page of Received has loaded.
3. Switch the dropdown to 'Da gui'.","The feed is replaced by page 1 of the Sent list. No Received cards remain stacked below it. The trigger label updates to 'Da gui (N)' only once the new page has actually loaded, never before.",Yes,Medium,Normal,,,,
FUNCTION,TC_WEB_PROFILE_FUN_011,[Web] Profile,KUDOS section,Direction switch,Re-picking the active option,"Re-selecting the direction that is already active is a no-op, not a clear — there is no unfiltered state for this list to fall back to.","Signed in, viewing /profile with Received active and at least one card.",,"1. Open the KUDOS dropdown.
2. Click the already-selected 'Da nhan (N)' option.",The dropdown closes and the feed is unchanged — the same cards remain and no request is issued. The list does not blank.,No,Low,Abnormal,,,,
FUNCTION,TC_WEB_PROFILE_FUN_012,[Web] Profile,KUDOS section,Empty states,Per direction,"Each direction shows its OWN empty message, because 'no Kudos yet' and 'you have not sent any' are different facts.","A Sunner with no received Kudos, and a Sunner with no sent Kudos.",,"1. Open the profile of a Sunner with no received Kudos.
2. On your own profile with nothing sent, switch to 'Da gui'.","Step 1 shows the received empty copy (VN 'Hien tai chua co Kudos nao.'). Step 2 shows the distinct sent empty copy (VN 'Ban chua gui Kudos nao.'). Neither shows a bare, empty feed area.",No,Medium,Abnormal,,,,The received wording matches the board's verbatim.
FUNCTION,TC_WEB_PROFILE_FUN_013,[Web] Profile,KUDOS section,Paging,Infinite scroll,"The profile feed pages by infinite scroll, reusing the board's keyset cursor so no card is duplicated or skipped while new Kudos arrive.",Signed in. The viewed Sunner has more than 10 received Kudos.,,"1. Navigate to that profile.
2. Scroll to the bottom of the feed repeatedly.","Further pages load automatically as the bottom is approached, 10 cards at a time. No card appears twice and none is skipped. When the last page is reached, an end-of-feed message is shown instead of a loading indicator.",Yes,Medium,Normal,,,,
FUNCTION,TC_WEB_PROFILE_FUN_014,[Web] Profile,Card interactions,Heart,Toggle and refusals,"Hearting from the profile page behaves exactly as on the board, including the refusal on your own Kudo, because it goes through the same server action.",Signed in. A card by another Sunner and a card sent by the viewer are both reachable.,,"1. Heart a Kudo sent by someone else.
2. Heart it again to withdraw.
3. Attempt to heart a Kudo you sent yourself (visible in your Sent list).","Steps 1 and 2 toggle the heart and the count updates to the value the SERVER reports, not a locally incremented one. Step 3 is refused with the same message the board shows for hearting your own Kudo.",Yes,High,Normal,,,,Reuses the board's existing action untouched; the server enforces both refusals regardless of the UI.
FUNCTION,TC_WEB_PROFILE_FUN_015,[Web] Profile,Card interactions,Hashtag and copy link,Navigation out,"A hashtag click leads to the board filtered by that tag, and Copy Link copies a shareable link to the Kudo.","Signed in, viewing a profile with at least one hashtagged Kudo.",,"1. Click a hashtag on a profile card.
2. Return and click Copy Link on a card.",Step 1 navigates to the live board filtered by that hashtag (the profile has no hashtag filter of its own). Step 2 copies the Kudo's link and confirms with the board's copy toast.,No,Low,Normal,,,,"The board already answers 'who else was thanked for this', which is what clicking a tag is asking."
GUI,TC_WEB_PROFILE_GUI_007,[Web] Profile,Check display,Deferred elements,Spam status chip,"The orange 'Spam' chip (mms_D.3.1_Status) is never rendered, because no moderation model exists in the schema or the specs.","Signed in, viewing any profile with Kudos.",,"1. Navigate to a profile with several Kudos.
2. Inspect every card for a status chip.","No 'Spam' chip appears on any card, in either direction, in any state.",Yes,Low,Normal,,,,A typed status field is carried on the card shape so the chip can be enabled later without reshaping anything.
GUI,TC_WEB_PROFILE_GUI_008,[Web] Profile,Check display,Localization,VN and EN,"Every string on the page is translated in both languages, with the counts and the recipient name substituted correctly.",Signed in.,"Locales: VN, EN","1. Open /profile in Vietnamese and read every label.
2. Switch to English and repeat.
3. Repeat both on another Sunner's profile.","No blank labels and no untranslated keys in either language. Direction labels show their counts (e.g. 'Received (12)'), and the write bar names the viewed Sunner. Statistics labels match the wording used by the live board's sidebar.",No,Medium,Normal,,,,Key-set parity between the two bundles is asserted by an automated test.
GUI,TC_WEB_PROFILE_GUI_009,[Web] Profile,Check display,Missing data,Sparse profile,"A roster profile whose owner has never signed in — no avatar, no department, no Kudos — still renders without broken elements.","A roster profile with null avatar, null department and zero Kudos.",URL: /profile?id={sparse profile},1. Navigate to that profile.,"The page renders: a placeholder avatar circle, the name, no department line, no Hero tier badge and no hoa-thi stars (zero Kudos means no badge, which differs from the lowest badge). The badge row still shows 6 greyed slots and the feed shows the received empty copy.",No,Medium,Abnormal,,,,
FUNCTION,TC_WEB_PROFILE_SEC_004,[Web] Profile,Data exposure,Withheld fields,No new write surface,"The profile page is read-only apart from the pre-existing heart action, and never exposes email or auth identifiers.",Signed in.,,"1. Open /profile and /profile?id={other}.
2. Look for any edit affordance on the name, avatar or department.
3. Inspect the page payload for email addresses or auth user ids.","No edit control is offered anywhere, on either face of the route. No email address and no auth user id appears in the rendered page or its data payload.",Yes,High,Access control and security,,,,Editing was explicitly ruled out even though the schema permits it; only the allowed profile columns are ever selected.
