"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"B.3","2940:13465","KUDO - Highlight","Thẻ KUDO nổi bật","mms_B.3_KUDO - Highlight","others","card","","","false","","","","","","Thẻ KUDO hiển thị bài khen thưởng nổi bật trong carousel.  Display:   - Thông tin người gửi, thông tin người nhận: bao gồm avatar gmail, họ và tên, số hoa thị, danh hiệu   - Thời gian đăng tải lời cảm ơn: '10:00 - 10/30/2025'   - Nội dung: Lời cảm ơn, hiển thị tối đa 3 dòng. Nếu quá 3 dòng hiển thị ""...""   - Tags: danh sách hashtag (ví dụ '#Dedicated'), tối đa 5 hashtag hiển thị trên 1 dòng, nếu quá 1 dòng hiển thị ""...""   - Hành động: '10' (like count) + heart icon, 'Copy Link', 'Xem chi tiết'  Function: - Click thẻ: Mở trang/chi tiết bài kudo - Click heart: Toggle like, tăng/giảm số lượt thả tim và trạng thái active của nút heart. - Click 'Copy Link': Sao chép URL vào clipboard, hiện toast xác nhận 'Link copied — ready to share!' - Click 'Xem chi tiết': Điều hướng tới chi tiết bài  State: - Active/center: Nổi bật hơn - Inactive: Mờ/che về 2 bên, không tương tác chính - Nút heart: chưa click hiển thị màu xám, click hiển thị màu đỏ  Trường hợp không có Kudos nào, hiển thị text 'Hiện tại chưa có Kudos nào.'","","","","","","","completed"
"B.3.1","I2940:13465;335:9443;256:4734","Avatar người gửi","Ảnh đại diện người gửi","mms_B.3.1_Avatar người gửi","others","avatar","","","false","","","","","","Ảnh đại diện người gửi kudos, lấy theo ảnh đại diện gmail. Function: - Click: Mở profile người gửi - Hover: mở preview profile","while_hovering","","","","","","completed"
"B.3.2","I2940:13465;335:9443;256:4737","Thông tin người gửi","Thông tin người gửi (tên và đơn vị)","mms_B.3.2_Thông tin người gửi","label","","","","false","","","","","","Hiển thị thông tin của người gửi.  - Display: họ và tên, phòng ban, số hoa thị  Function: - Click vào tên: chuyển hướng đến trang profile người gửi - Hover vào tên: hiển thị preview profile người gửi - Hover vào số hoa thị: hiển thị text mô tả logic hiển thị số hoa thị.  Logic hiển thị số hoa thị:  1 hoa thị: Sunner đã nhận được 10 Kudos và bắt đầu lan tỏa năng lượng ấm áp đến mọi người xung quanh.          2 hoa thị: Sunner đã nhận được 20 Kudos và chứng minh sức ảnh hưởng của mình qua những hành động lan tỏa tích cực mỗi ngày.  3 hoa thị: Sunner đã nhận được 50 Kudos và trở thành hình mẫu của sự công nhận, sẻ chia và lan tỏa tinh thần Sun*.","","","","","","","completed"
"B.3.4","I2940:13465;335:9444","Icon mũi tên","icon mũi tên","mms_B.3.4_Icon mũi tên","others","icon","","","false","","","","","","Nút mũi thể hiện lời cảm ơn được gửi từ người gửi đến người nhận Function: - Không tương tác","","","","","","","completed"
"B.3.5","I2940:13465;335:9446;256:4734","Avatar người nhận","Ảnh đại diện người nhận","mms_B.3.5_Avatar người nhận","others","avatar","","","false","","","","","","Ảnh đại diện người nhận kudos, lấy theo ảnh đại diện gmail. Function: - Click: Mở profile người nhận - Hover: mở preview profile","while_hovering","","","","","","completed"
"B.3.6","I2940:13465;335:9446;256:4737","Thông tin người nhận","Thông tin người nhận","mms_B.3.6_Thông tin người nhận","label","","","","false","","","","","","Hiển thị thông tin của người nhận.  - Display: họ và tên, phòng ban, số hoa thị  Function: - Click vào tên: chuyển hướng đến trang profile người nhận - Hover vào tên: hiển thị preview profile người nhận - Hover vào số hoa thị: hiển thị text mô tả logic hiển thị số hoa thị.  Logic hiển thị số hoa thị:  1 hoa thị: Sunner đã nhận được 10 Kudos và bắt đầu lan tỏa năng lượng ấm áp đến mọi người xung quanh.          2 hoa thị: Sunner đã nhận được 20 Kudos và chứng minh sức ảnh hưởng của mình qua những hành động lan tỏa tích cực mỗi ngày.  3 hoa thị: Sunner đã nhận được 50 Kudos và trở thành hình mẫu của sự công nhận, sẻ chia và lan tỏa tinh thần Sun*.","","","","","","","completed"
"B.4","I2940:13465;335:9448","Nội dung lời cảm ơn","Nội dung lời cảm ơn (Kudos)","mms_B.4_Nội dung lời cảm ơn","others","card","","","false","","","","","","Hiển thị nội dung lời cảm ơn trong thẻ Kudos.  Display:   - Thời gian đăng tải lời cảm ơn: '10:00 - 10/30/2025'   - Nội dung: Lời cảm ơn, hiển thị tối đa 3 dòng. Nếu quá 3 dòng hiển thị ""...""   - Tags: danh sách hashtag (ví dụ '#Dedicated'), tối đa 5 hashtag hiển thị trên 1 dòng, nếu quá 1 dòng hiển thị ""...""  Function: - Click nội dung: mở trang chi tiết kudos","","","","","","","completed"
"B.4.1","I2940:13465;335:9449","Thời gian đăng","Thời gian đăng bài","mms_B.4.1_Thời gian đăng","label","","","","false","","","","","","Nhãn hiển thị thời gian đăng bài (giờ - ngày).  Function: - Hiển thị theo định dạng: giờ - ngày/tháng/năm - Interaction: Không tương tác, chỉ để đọc","","","","","","","completed"
"B.4.2","I2940:13465;335:9450","Nội dung","Nội dung kudos","mms_B.4.2_Nội dung","others","card_text","","","false","","","","","","Hiển thị nội dung kudos.  Hiển thị:   - Nội dung: Lời cảm ơn, hiển thị tối đa 3 dòng. Nếu quá 3 dòng hiển thị ""...""  Chức năng: - Click thẻ: Mở trang/chi tiết bài kudo","","","","","","","completed"
"B.4.3","I2940:13465;335:9458","Hashtag","Hashtag (thẻ)","mms_B.4.3_Hashtag","label","","","","false","","","","","","Dòng hiển thị các hashtag trong Kudos, ví dụ '#Dedicated #Inspring...'. Display:   - Tags: danh sách hashtag (ví dụ '#Dedicated'), tối đa 5 hashtag hiển thị trên 1 dòng, nếu quá 1 dòng hiển thị ""..."" Function: - Click 1 tag: chỉnh filter Hashtag thành tag này và thay đổi view Highlight Kudos và All Kudos thành các lời cảm ơn có chứa tag này","","","","","","","completed"
"B.4.4","I2940:13465;335:9461","Action","Thanh hành động thẻ Kudos","mms_B.4.4_Action","others","action_bar","","","false","","","","","","Thanh hành động trong thẻ Kudos, hiển thị lượt thích và các thao tác chia sẻ/chi tiết.  Display:   - Lượt thích: '10' - số lượt thích + icon trái tim (màu xám với trạng thái inactive - chưa tim, màu đỏ với trạng thái active - đã tim)   - Copy Link: text button - 'Copy Link'   - Xem chi tiết: text button - 'Xem chi tiết'  Function: - Click 'Copy Link': Sao chép URL vào clipboard, hiện toast xác nhận 'Link copied — ready to share!' - Click 'Xem chi tiết': Điều hướng tới chi tiết bài - Click trái tim: toggle like, cập nhật số (tăng/giảm) và trạng thái active/disabled tạm thời","","","","","","","completed"
"B.5","2940:13471","slide","Thanh điều hướng slide","mms_B.5_slide","others","navigation","","","false","","","","","","Hiển thị trạng thái và điều khiển trang trong carousel.  Display:   - Mũi tên trái: icon button   - Chỉ số trang: '2/5' (text)   - Mũi tên phải: icon button  Function: - click mũi tên trái: chuyển về slide trước (nếu là slide đầu: disabled) + thay đổi số trang - click mũi tên phải: chuyển sang slide tiếp theo (nếu là slide cuối: disabled) + thay đổi số trang","","","","","","","completed"
"B.5.1","2940:13472","Button lùi","Nút lùi (carousel)","mms_B.5.1_Button lùi","button","","icon_text","","false","","","","","","Nút lùi điều hướng carousel.  Function: - Click: Chuyển carousel sang card trước đó - Trường hợp đang ở page 1 (card đầu tiên) thì disable nút này","","","","","","","completed"
"B.5.2","2940:13473","số trang","Chỉ số trang","mms_B.5.2_số trang","label","","","","false","","","","","","Hiển thị chỉ số trang của carousel '2/5'.  Function: - Cập nhật khi chuyển slide, không tương tác","","","","","","","completed"
"B.5.3","2940:13474","Button tiến","Nút điều hướng sang phải","mms_B.5.3_Button tiến","button","","icon_text","","false","","","","","","Nút chuyển sang mục kế tiếp trong carousel.  Function: - Click: Trượt carousel sang item tiếp theo - Trường hợp ở trang 5 (card thứ 5) thì disable nút này","","","","","","","completed"
"B.6","2940:13476","Header Giải thưởng","Header 'Sun* Annual Awards 2025 - SPOTLIGHT BOARD'","mms_B.6_Header Giải thưởng","others","info_block","","","false","","","","","","Header trang cho phần Spotlight mô tả sự kiện và khu vực.  Display:   - Title: 'Sun* Annual Awards 2025' - văn bản chính   - Subtitle: 'SPOTLIGHT BOARD' - phần mô tả khu vực  Function: - Display: Định vị và tách phần Spotlight khỏi các section khác.","","","","","","","completed"
"B.7","2940:14174","Spotlight","Bảng Spotlight (word cloud/interactive board)","mms_B.7_Spotlight","others","info_block","","","false","","","","","","Bảng tương tác hiển thị tên người nhận Kudos dưới dạng word cloud/diagram.  Display:   - Canvas: Vùng hiển thị nhiều tên nhỏ dàn trải - interactive   - Header: '388 KUDOS' và thanh tìm kiếm nhỏ - thông tin tổng quát, trong đó 388 là tổng số KUDOS của hệ thống được query từ DB  Function: - Hover: Hiển thị tooltip với tên và thời gian nhận Kudos - Click node: Mở chi tiết Kudos tương ứng - Pan/Zoom: Hỗ trợ pan và zoom bằng nút 'Pan/Zoom' và thao tác chuột - State: Hỗ trợ loading, empty (không dữ liệu) và interactive","","","","","","","completed"
"B.7.1","3007:17482","388 KUDOS","Tiêu đề '388 KUDOS'","mms_B.7.1_388 KUDOS","label","","","","false","","","","","","Tiêu đề thông tin tổng quan của Spotlight board.  Function: - Display: Hiển thị tổng số '388 KUDOS' rõ ràng ở đầu khung Spotlight, số KUDOS được query từ DB.","","","","","","","completed"
"B.7.2","3007:17479","Pan zoom","Nút 'Pan/Zoom' (icon)","mms_B.7.2_Pan zoom","button","","icon_text","","false","","","","","","Icon điều khiển chế độ pan/zoom trên bản đồ Spotlight.  Function: - Click: Toggle giữa chế độ pan và zoom trên Spotlight. - Hover: Hiển thị tooltip 'Pan/Zoom'.","","","","","","","completed"
"B.7.3","2940:14833","Tìm kiếm sunner","Thanh tìm kiếm Sunner","mms_B.7.3_Tìm kiếm sunner","text_form","","","string","false","","","100","","Tối đa 100 ký tự Không bắt buộc","Thanh tìm kiếm để tìm profile Sunner.  Hiển thị: - Input: ô nhập, placeholder 'Tìm kiếm' - Icon: kính lúp  Chức năng: - Gõ: nhập từ khóa - Enter/Click icon: thực hiện tìm kiếm - Focus: hiển thị viền focus","","","","","","","completed"
"C","2940:13475","All kudos","Tất cả Kudos","mms_C_All kudos","others","list","","","false","","","","","","Danh sách 'ALL KUDOS' hiển thị feed các lời cảm ơn cùng thanh thông tin phụ bên phải.  Display:   - Title: 'ALL KUDOS' - heading  - Sub title: 'Sun* Annual Awards 2025'   - Danh sách thẻ: card gồm thông tin người gửi, thông tin người nhận, thời gian đăng tải, nội dung lời cảm ơn, gallery, danh sách hashtag, số tim, button copy link   - Sidebar: info box thống kê (Số Kudos nhận/đã gửi/tim/Secret Box), nút 'Mở quà', hai danh sách nhỏ leaderboard  Function: - Click thẻ: mở trang/nội dung chi tiết của kudos - Click heart/like: toggle like, tăng/giảm số '10' và đổi trạng thái active - Click 'Copy Link': copy URL, hiển thị toast xác nhận - Pagination / scroll: infinity scroll - Click 'Mở quà': mở dialog mở quà - Click avatar/tên bất kỳ: mở profile  State: - Nội dung dài: hiển thị truncated với '...' và có cách xem full - Nút 'Mở quà' có thể disabled nếu không đủ điều kiện","","","","","","","completed"
"C.1","2940:14221","Header Giải thưởng","Tiêu đề mục Giải thưởng","mms_C.1_Header Giải thưởng","others","section_header","","","false","","","","","","Tiêu đề cho mục 'ALL KUDOS' trên trang Giải thưởng.  Display:   - 'Sun* Annual Awards 2025' (sub-title)   - 'ALL KUDOS' (title lớn)  Function: - Static: hiển thị tiêu đề, không tương tác - Vai trò: phân vùng nội dung, giúp người dùng định vị","","","","","","","completed"
"C.2","2940:13482","Danh sách lời cảm ơn","Danh sách 'Kudos' (bài cảm ơn)","mms_C.2_Danh sách lời cảm ơn","others","list","","","false","","","","","","Danh sách 'Kudos' dạng thẻ, hiển thị lời cảm ơn và metadata. Hiển thị: gồm thông tin người gửi, thông tin người nhận, thời gian đăng tải, nội dung lời cảm ơn, gallery, danh sách hashtag, số tim, button copy link  Chức năng: Click heart toggle like và cập nhật số; Click 'Copy Link' sao chép; Click thẻ mở chi tiết, click avatar hoặc tên mở profile  Trường hợp không có Kudos nào, hiển thị text 'Hiện tại chưa có Kudos nào.'","","","","","","","completed"
"C.3","3127:21871","KUDOpost","Bài đăng KUDO","mms_C.3_KUDO Post","others","card","","","false","","","","","","Thẻ KUDO hiển thị bài cảm ơn.  Hiển thị: thông tin người gửi, thông tin người nhận, thời gian đăng tải, nội dung lời cảm ơn, gallery, danh sách hashtag, số tim, button copy link  Chức năng: Click avatar hoặc tên mở profile; ảnh mở full hình ảnh; 'Copy Link' sao chép link; tim để tăng/giảm tim","","","","","","","completed"
"C.3.1","I3127:21871;256:4858","Thông tin người gửi","Thông tin người gửi","mms_C.3.1_Thông tin người gửi","others","info_block","","","false","","","","","","Khối hiển thị thông tin người gửi trong thẻ kudos.  Display:   - Ảnh đại diện   - Họ và tên   - Thông tin phụ: Số hoa thị, danh hiệu tương ứng  Function: - Click avatar hoặc tên: mở profile - Hover avatar hoặc tên: mở preview profile","while_hovering","","","","","","completed"
"C.3.2","I3127:21871;256:5161","icon sent","Biểu tượng 'sent'","mms_C.3.2_Icon sent","others","icon","","","false","","","","","","Biểu tượng trạng thái 'sent' hiển thị trên thẻ Kudos, kích thước nhỏ, đặt dọc bên phải nội dung.  Function: không tương tác","","","","","","","completed"
"C.3.3","I3127:21871;256:4860","thông tin người nhận","Thông tin người nhận","mms_C.3.3_Thông tin người nhận","others","info_block","","","false","","","","","","Khối hiển thị thông tin người nhận trong thẻ kudos.  Display:  - Ảnh đại diện - Họ và tên - Thông tin phụ: phòng ban (vd: CEVC10), danh hiệu tương ứng  Function:  - Click avatar hoặc tên: mở profile - Hover avatar hoặc tên: mở preview profile","while_hovering","","","","","","completed"
"C.3.4","I3127:21871;256:5229","Thời gian","Nhãn hiển thị thời gian","mms_C.3.4_Time","label","","","","false","","","","","","Hiển thị nhãn thời gian đăng tải của kudos.  Function: - Hiển thị: '10:00 - 10/30/2025' - Format: 'HH:mm - MM/DD/YYYY' - Tương tác: read-only, không thể sửa","","","","","","","completed"
"C.3.5","I3127:21871;256:5155","content","Thẻ nội dung kudos","mms_C.3.5_Content","others","card","","","false","","","","","","Hiển thị nội dung kudos.  Hiển thị:   - Nội dung: Lời cảm ơn, hiển thị tối đa 5 dòng. Nếu quá 5 dòng hiển thị ""...""  Chức năng: - Click thẻ: Mở trang/chi tiết bài kudo","","","","","","","completed"
"C.3.6","I3127:21871;256:5176","Image đính kèm","Ảnh đính kèm","mms_C.3.6_Image đính kèm","others","attachment_images","","","false","","","","","","Nhóm ảnh đính kèm trong thẻ kudos, hiển thị ảnh thu nhỏ theo hàng ngang. Display:   - Ảnh thu nhỏ: nhiều ảnh vuông, xếp ngang   - Hiển thị tối đa 5 ảnh, căn lề trái Function: - Click ảnh: mở full ảnh lớn","","","","","","","completed"
"C.3.7","I3127:21871;256:5158","Hashtag","Danh sách hashtag","mms_C.3.7_Hash tag","label","","","","false","","","","","","Dòng hiển thị các hashtag trong Kudos, ví dụ '#Dedicated #Inspring...'. Display:   - Tags: danh sách hashtag (ví dụ '#Dedicated'), tối đa 5 hashtag hiển thị trên 1 dòng, nếu quá 1 dòng hiển thị ""..."" Function: - Click 1 tag: chỉnh filter Hashtag thành tag này và thay đổi view Highlight Kudos và All Kudos thành các lời cảm ơn có chứa tag này","","","","","","","completed"
"C.4","I3127:21871;256:5194","Button","Nút hành động (Like + Copy Link)","mms_C.4_Button","button","","icon_text","","false","","","","","","Thanh hành động trong thẻ Kudos, hiển thị lượt thích và các thao tác chia sẻ/chi tiết.  Display:   - Lượt thích: '10' - số lượt thích + icon trái tim (màu xám với trạng thái inactive - chưa tim, màu đỏ với trạng thái active - đã tim)   - Copy Link: text button - 'Copy Link'  Function: - Click 'Copy Link': Sao chép URL vào clipboard, hiện toast xác nhận 'Link copied — ready to share!' - Click trái tim: toggle like, cập nhật số (tăng/giảm) và trạng thái active/disabled tạm thời","","","","","","","completed"
"C.4.1","I3127:21871;256:5175","Hearts","Nút thích (tim) với số '10'","mms_C.4.1_Hearts","button","","icon_text","","false","","","","","","Nút heart hiển thị số lượt thả tim của 1 kudo và biểu tượng trái tim. State: - Chưa tim: biểu tượng tim màu xám - Đã tim: biểu tượng tim màu đỏ Function: - Click: đổi số lượt tim và màu sắc của biểu tượng tim. Quy tắc: + Mỗi người dùng chỉ có một lượt thả tim duy nhất cho 1 một kudos. + Người gửi kudos sẽ bị disable nút tim (không thể thả tim cho kudos của chính mình gửi) + Ứng với 1 lượt thả tim trên kudos, tài khoản gửi lời cảm ơn (tài khoản gửi kudo tương ứng) sẽ được cộng 1 tim. + Nếu lượt thả tim diễn ra trong những ngày đặc biệt (do admin cấu hình) thì tài khoản gửi kudos sẽ được cộng 2 tim + Người dùng có thể hủy bỏ lượt thả tim. Số tim trên tài khoản nhận kudos sẽ bị thu hồi tương ứng 1 tim hoặc 2 tim.","","","","","Cần phân biệt lượt thả tim bình thường và lượt thả tim đặc biệt (thả trong ngày đặc biệt do admin set) để thu hồi đúng số tim đã cộng cho người nhận kudo.","","completed"
"C.4.2","I3127:21871;256:5216","Copylink button","Nút 'Copy Link'","mms_C.4.2_Copy link button","button","","text_link","","false","","","","","","Nút 'Copy Link' để sao chép URL của kudos.  Function: - Click 'Copy Link': Sao chép URL vào clipboard, hiện toast xác nhận 'Link copied — ready to share!'","","","","","","","completed"
"C.5","3127:22053","KUDOpost","Bài đăng Kudo","mms_C.5_KUDOpost","others","list_item","","","false","","","","","","Hiển thị và tính năng tương tự C.3 và C.4","","","","","","","completed"
"C.6","3127:22375","KUDOpost","Bài đăng Kudo","mms_C.6_KUDOpost","others","list_item","","","false","","","","","","Hiển thị và tính năng tương tự C.3 và C.4","","","","","","","completed"
"C.7","3127:22439","KUDOpost","Bài đăng Kudo","mms_C.7_KUDOpost","others","list_item","","","false","","","","","","Hiển thị và tính năng tương tự C.3 và C.5","","","","","","","completed"
"D","2940:13488","Thống menu phải","Thanh menu bên phải - Thống kê & Danh sách Kudos","mms_D_Thống menu phải","others","info_block","","","false","","","","","","Sidebar thống kê và danh sách member nổi bật.  Display:   - Sidebar thống kê: bao gồm các số liệu nổi bật của user và button Mở quả   - Lists: '10 SUNNER CÓ SỰ THĂNG HẠNG MỚI NHẤT' và '10 SUNNER NHẬN QUÀ MỚI NHẤT' (avatar + tên + mô tả)  Function: - Click 'Mở quà': mở dialog mở phần thưởng - Click avatar hoặc tên member: mở profile member - Sidebar có scroll độc lập  State: - List rỗng: hiển thị 'Chưa có dữ liệu'","","","","","","","completed"
"D.1","2940:13489","Thống kê tổng quat","Thống kê tổng quát","mms_D.1_Thống kê tổng quat","others","info_block","","","false","","","","","","Hiển thị tổng quan số Kudos và Secret Box ở cột phải. Display:  - 6 dòng số liệu: label + giá trị (ví dụ 'Số Kudos bạn nhận được: 25')  - Nút: 'Mở quà' Function:  - Hiển thị: hiện các giá trị số  - Click 'Mở quà': mở dialog mở quà","","","","","","","completed"
"D.1.2","2940:13491","Số kudos nhận được","Số Kudos bạn nhận được","mms_D.1.2_Số kudos nhận được","others","info_block","","","false","","","","","","Mục hiển thị tổng 'Số Kudos bạn nhận được: 25' ở thanh bên. Function: - Display: Hiển thị nhãn 'Số Kudos bạn nhận được:' và giá trị '25'","","","","","","","completed"
"D.1.3","2940:13492","Số kudos đã gửi","Số Kudos đã gửi (thống kê)","mms_D.1.3_Số kudos đã gửi","others","info_block","","","false","","","","","","Mục hiển thị tổng 'Số Kudos bạn đã gửi: 25' ở thanh bên. Function: - Display: Hiển thị nhãn 'Số Kudos bạn đã gửi:' và giá trị '25'","","","","","","","completed"
"D.1.4","3241:14882","Số tim","Số tim","mms_D.1.4_Số tim","label","","","","false","","","","","","Mục hiển thị tổng 'Số tim bạn nhận được: 25' ở thanh bên. Function: - Display: Hiển thị nhãn 'Số tim bạn nhận được:' và giá trị '25'","","","","","","","completed"
"D.1.5","2940:13494","phân cách nội dung","Phân cách nội dung","mms_D.1.5_phân cách nội dung","others","divider","","","false","","","","","","Phân cách ngang tách các khối nội dung trên giao diện, đường mảnh trang trí.  Function: - Hiển thị: đường ngang dùng để phân đoạn nội dung - Hành vi: không tương tác, chỉ dùng để phân đoạn nội dung","","","","","","","completed"
"D.1.6","2940:13495","Số secret box đã mở","Số Secret Box bạn đã mở","mms_D.1.6_Số secret box đã mở","others","info_block","","","false","","","","","","Mục hiển thị tổng 'Số Secret Box bạn đã mở: 25' ở thanh bên. Function: - Display: Hiển thị nhãn 'Số Secret Box bạn đã mở:' và giá trị '25'","","","","","","","completed"
"D.1.7","2940:13496","Số Secret Box chưa mở","Số Secret Box chưa mở","mms_D.1.7_Số secret box chưa mở","others","info_block","","","false","","","","","","Mục hiển thị tổng 'Số Secret Box chưa mở: 25' ở thanh bên. Function: - Display: Hiển thị nhãn 'Số Secret Box chưa mở:' và giá trị '25'","","","","","","","completed"
"D.1.8","2940:13497","Button mở quà","Nút 'Mở quà'","mms_D.1.8_Button mở quà","button","","icon_text","","false","","","","","","Nút 'Mở quà' trên sidebar để mở hộp quà cá nhân.  Function: - Click: Mở dialog mở 'Secret Box'","on_click","","","","","","completed"
"D.3","2940:13510","10 SUNNER nhận quà","Danh sách 10 Sunner nhận quà mới nhất","mms_D.3_10 SUNNER nhận quà","others","list_item","","","false","","","","","","Hiển thị nhanh 10 Sunner vừa nhận quà mới nhất.  Display:   - Header: Text - '10 SUNNER NHẬN QUÀ MỚI NHẤT'   - List: Vertical list - mỗi mục gồm avatar (circle), tên người, mô tả quà nhỏ  Function: - Click avatar hoặc tên: Mở trang profile - Hover avatar hoặc tên: Mở preview profile - Scroll: cho phép cuộn khi vượt chiều cao khung","","","","","","","completed"
