"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"C.6","313:8465","MVP（ナビ）","MVP (navigation item)","MVP","others","navigation_item","","","","","","","","","Navigation item 'MVP' in category left menu.","on_click","Scroll to D.6 section; set C.6 as active state.","","","","","completed"
"D1","335:12023","サンクドスブロック","Sun* Kudos Recognition Program Block","Sunkudos","others","info_block","","","","","","","","","Promotional block for 'Sun* Kudos' recognition program. Shows label 'Phong trào ghi nhận'; title 'Sun* Kudos'; summary description paragraph; illustration/logo image (right); CTA button 'Chi tiết'.","on_click","Navigate to Sun* Kudos detail page on button click.","","","","","completed"
"D.1","313:8467","トップタレント賞カード","Top Talent Award Card","Top talent","others","info_block","","","","","","","","","Award info card for 'Top Talent'. Contains award image/icon (D.1.1; left) and content block (D.1.2; right): title 'Top Talent'; description paragraph; quantity 'Số lượng giải thưởng: 10 Đơn vị'; prize value 'Giá trị giải thưởng: 7.000.000 VNĐ cho mỗi giải thưởng'. Read-only.","","","","","","","completed"
"D.1.1","I313:8467;214:2525","賞画像","Award Image","Picture-Award","others","image","","","","","","","","","Award image/graphic displayed in Top Talent award card (336x336px). Display-only.","","","","","","","completed"
"D.1.2","I313:8467;214:2526","トップタレントコンテンツブロック","Top Talent Content Block","Content","others","info_block","","","","","","","","","Content block for 'Top Talent' award card. Shows award icon/graphic (left); title 'Top Talent'; description paragraph; quantity 'Số lượng giải thưởng: 10 Đơn vị'; prize value 'Giá trị giải thưởng: 7.000.000 VNĐ cho mỗi giải thưởng'. Read-only.","","","","","","","completed"
"D2","I335:12023;313:8419","サンクドスコンテンツブロック","Sun* Kudos Content Block","Content","others","info_block","","","","","","","","","Content block for Sun* Kudos section. Shows title 'Phong trào ghi nhận' and 'Sun* Kudos'; summary description paragraph; illustration/logo image (right); CTA button 'Chi tiết' (D2.1).","on_click","Navigate to Sun* Kudos page on button click.","","","","","completed"
"D.2","313:8468","トッププロジェクト賞カード","Top Project Award Card","Top Project","others","info_block","","","","","","","","","Award info card for 'Top Project'. Shows image/icon; title 'Top Project'; description paragraph; quantity '02 Tập thể'; prize value '15.000.000 VNĐ mỗi giải'. Read-only.","","","","","","","completed"
"D2.1","I335:12023;313:8426","詳細ボタン","Detail Button","Button chi tiết","button","","text_link","","","","","","","","'Chi tiết' (Detail) text-link button in Sun* Kudos content block.","on_click","Open Sun* Kudos tab/page.","","","","","completed"
"D.3","313:8469","トッププロジェクトリーダー賞カード","Top Project Leader Award Card","Top Project Leader","others","info_block","","","","","","","","","Award info card for 'Top Project Leader'. Shows image/icon; title 'Top Project Leader'; description paragraph; quantity '03 Cá nhân'; prize value '7.000.000 VNĐ'. Read-only.","","","","","","","completed"
"D.4","313:8470","ベストマネージャー賞カード","Best Manager Award Card","Best manager","others","info_block","","","","","","","","","Award info card for 'Best Manager'. Shows image/icon; title 'Best Manager'; description paragraph; quantity '01 Cá nhân'; prize value '10.000.000 VNĐ'. Read-only.","","","","","","","completed"
"D.5","313:8471","シグネチャー2025クリエイター賞カード","Signature 2025 - Creator Award Card","Signature 2025","others","info_block","","","","","","","","","Award info card for 'Signature 2025 - Creator'. Shows image/icon; title 'Signature 2025 - Creator'; description paragraph; quantity '01'; prize value '5.000.000 VNĐ (cá nhân)' and '8.000.000 VNĐ (tập thể)'. Read-only.","","","","","","","completed"
"D.6","313:8510","MVP賞カード","MVP Award Card","MVP","others","info_block","","","","","","","","","Award info card for 'MVP (Most Valuable Person)'. Shows image/icon; title 'MVP (Most Valuable Person)'; description paragraph; quantity '01'; prize value '15.000.000 VNĐ'. Read-only.","","","","","","","completed"
