"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"E.1","I520:11647;520:9891","Title","Nhãn 'Hashtag' (bắt buộc)","mms_E.1_Title","label","","","","false","","","","","","Nhãn cho trường 'Hashtag' kèm dấu '*' báo trường bắt buộc.  Function: - Hiển thị: văn bản 'Hashtag' và '*' - Tương tác: không có, chỉ để nhận diện trường bắt buộc","","","","","","","completed"
"E.2","I520:11647;662:8595","Tag Group","Nhóm Hashtag","mms_E.2_Tag Group","others","tag_group","","","true","","","","","Tối đa 5 hashtag Trường bắt buộc","Trường chọn 'Hashtag' bắt buộc.  Display:   - Label: 'Hashtag' (*)   - Button: '+ Hashtag'   - Note: 'Tối đa 5'   - Chips: hashtag đã thêm  Function: - Click '+ Hashtag': mở dropdown để thêm - Nhập: tạo chip - Click 'x' trên chip: xóa - Validation: tối đa 5, không được để trống","","","","","","","completed"
"F","I520:11647;520:9896","Frame 537","Khung tải ảnh","mms_F_Frame 537","others","image_upload","","","false","","","","","Tối đa 5 ảnh","Khung để thêm và quản lý ảnh đính kèm.  Display:   - Nhãn: 'Image'   - Hình thu nhỏ: dãy ảnh kèm nút 'x' để xóa từng ảnh   - Nút: '+ Image' và text 'Tối đa 5'  Function: - Click '+ Image': mở file picker để chọn ảnh - Click 'x' trên thumbnail: xóa ảnh khỏi danh sách - Thêm được tối đa 5 ảnh, đủ 5 ảnh ẩn button '+ Image' - Trường không bắt buộc","","","","","","","completed"
"F.1","I520:11647;520:9897","Title","Nhãn tiêu đề cho phần đính kèm ảnh","mms_F.1_Title","label","","","","false","","","","","","Nhãn tiêu đề cho phần đính kèm ảnh 'Image'. Function: - Display: Hiển thị chữ 'Image' phía trên danh sách ảnh - click: Không interactive, chỉ là nhãn","","","","","","","completed"
"F.2","I520:11647;662:9197","Image","Hình thu nhỏ ảnh","mms_F.2_Image","others","image_thumbnail","","","false","","","","","","Khung để thêm và quản lý ảnh đính kèm.  Display:   - Hình thu nhỏ: ảnh kèm nút 'x' để xóa từng ảnh  Function: - Click 'x' trên thumbnail: xóa ảnh khỏi danh sách","","","","","","","completed"
"F.3","I520:11647;662:9393","Image","Ảnh (thumbnail)","mms_F.3_Image","others","image_item","","","false","","","","","","Khung để thêm và quản lý ảnh đính kèm.  Display:   - Hình thu nhỏ: ảnh kèm nút 'x' để xóa từng ảnh  Function: - Click 'x' trên thumbnail: xóa ảnh khỏi danh sách","","","","","","","completed"
"F.4","I520:11647;662:9439","Image","Ảnh (thumbnail)","mms_F.4_Image","others","image_thumbnail","","","false","","","","","","Khung để thêm và quản lý ảnh đính kèm.  Display:   - Hình thu nhỏ: ảnh kèm nút 'x' để xóa từng ảnh  Function: - Click 'x' trên thumbnail: xóa ảnh khỏi danh sách","","","","","","","completed"
"F.5","I520:11647;662:9132","Frame 542","Nút thêm ảnh","mms_F.5_Frame 542","button","","icon_text","","false","","","","","","Nút thêm ảnh cho bài 'Kudos'.  Display:   - Icon: biểu tượng nhỏ (IC)   - Label: 'Image'   - Ghi chú: 'Tối đa 5'  Function: - Click: mở file picker để chọn ảnh - Nếu đã 5 ảnh: ẩn - Sau chọn: hiển thị thumbnail bên cạnh","","","","","","","completed"
"G","I520:11647;520:14099","Gửi ẩn danh","Gửi lời cám ơn và ghi nhận ẩn danh","mms_G_Gửi ẩn danh","text_form","","","boolean","false","","","","","","Cho phép người gửi chọn ẩn danh; nhãn hiển thị 'Gửi lời cám ơn và ghi nhận ẩn danh'.  Function: - Click: Bật/tắt ẩn danh trước khi gửi - Bật: Hiển thị text field điền tên ẩn danh","","","","","","","completed"
"H","I520:11647;520:9905","Frame 538","Thanh hành động 'Hủy' và 'Gửi'","mms_H_Frame 538","button","","icon_text","","false","","","","","","Footer modal chứa hai nút hành động 'Hủy' và 'Gửi'. Display:   - 'Hủy': nút text + icon   - 'Gửi': nút icon_text, nền vàng (nút chính) Function:   - Click 'Hủy': đóng modal, huỷ thay đổi   - Click 'Gửi': validate form và gửi dữ liệu, show loading, đóng modal khi thành công State:   - 'Gửi' disabled nếu các trường bắt buộc chưa được điền","","","","","","","completed"
"H.1","I520:11647;520:9906","Nút Hủy","Nút 'Hủy'","mms_H.1_Button","button","","icon_text","","false","","","","","","Nút 'Hủy' để đóng modal và hủy thao tác viết 'Kudo'. Function: - Click: Đóng modal và bỏ mọi thay đổi, không gửi dữ liệu - State: luôn enabled khi hiển thị","","","","","","","completed"
"H.2","I520:11647;520:9907","Button","Nút 'Gửi'","mms_H.2_Button","button","","icon_text","","false","","","","","","Button chính 'Gửi' để gửi lời cảm ơn từ form.  Function: - Click: Gửi nội dung và đóng dialog - Disable khi các trường bắt buộc (Người nhận, nội dung, hashtag) chưa điền đủ","","","","","","","completed"
